+--------+--------+-----------------------+
| Letter | Count  |       Percentage      |
+--------+--------+-----------------------+
|    ്    | 498417 |   14.098453861950746  |
|   ന    | 269217 |   7.615196619201982   |
|   ു    | 233948 |   6.617561367480751   |
|   ി    | 224958 |   6.363266068125116   |
|   ക    | 216007 |   6.110073940813406   |
|   ത    | 160260 |    4.53318850664449   |
|   ാ    | 138791 |   3.9259064396960905  |
|   യ    | 137908 |   3.900929493163162   |
|   വ    | 127680 |   3.611615553028632   |
|   െ    | 116590 |   3.2979186820771313  |
|   ര    | 112997 |   3.196285421722872   |
|   ട    | 100737 |   2.8494933894536754  |
|   പ    | 94481  |   2.672533279023325   |
|   ം    | 89896  |   2.542839847705685   |
|   മ    | 74402  |   2.104569395178855   |
|   ല    | 67913  |   1.9210185389476302  |
|   ച    | 60989  |   1.725163071457262   |
|   അ    | 60501  |   1.7113592776768893  |
|   ോ    | 55794  |   1.5782148979141561  |
|   റ    | 54747  |   1.5485989715042174  |
|   ങ    | 46375  |   1.3117847060753665  |
|   ള    | 45534  |   1.2879957909743556  |
|   സ    | 40791  |   1.1538330985556933  |
|   േ    | 38669  |   1.0938092247812041  |
|   ണ    | 32948  |   0.9319823718764674  |
|   ൽ    | 32078  |   0.9073731493581803  |
|   ദ    | 30932  |   0.8749568631444363  |
|   എ    | 29782  |   0.8424274310800337  |
|   ഞ    | 27805  |   0.7865050943919258  |
|   ൻ    | 27150  |   0.7679774613465488  |
|   ശ    | 25730  |   0.7278106843626777  |
|   ർ    | 24872  |   0.7035408993963669  |
|   ഹ    | 22868  |   0.6468548282163122  |
|   ീ    | 20709  |   0.5857843553232294  |
|   ൾ    | 16866  |  0.47707947930279526  |
|   ൂ    | 15574  |  0.44053336954000555  |
|   ൊ    | 14872  |   0.4206762727493876  |
|   ഷ    | 13839  |   0.3914563568167546  |
|   ആ    | 12328  |   0.3487155117303961  |
|   ജ    | 12183  |   0.3446139746440149  |
|   ഗ    | 10740  |  0.30379660901885575  |
|   ധ    | 10318  |   0.2918597217743532  |
|   ബ    | 10180  |   0.2879561899266249  |
|   ഇ    | 10140  |   0.286824731420037   |
|   ഴ    |  9318  |  0.26357325910965534  |
|   ഭ    |  8854  |  0.25044834043323544  |
|   ഉ    |  7759  |   0.2194746638153912  |
|   ഒ    |  7494  |  0.21197875120924628  |
|   ൈ    |  6949  |  0.19656262905698593  |
|   ൃ    |  4609  |  0.13037230642159275  |
|   ഥ    |  3804  |  0.10760170397651092  |
|   ഈ    |  2689  |  0.07606229810537272  |
|   ഏ    |  2573  |  0.07278106843626778  |
|   ഫ    |  2560  |   0.0724133444216267  |
|   ഖ    |  2207  |  0.06242822310098833  |
|   ഓ    |  1699  |  0.04805870006732178  |
|   ഠ    |  1172  |  0.033151734243025976 |
|   ൗ    |  1094  |  0.030945390155179536 |
|   ഘ    |  688   |  0.019461086313312177 |
|   ഡ    |  561   |  0.015868705554895536 |
|   ഛ    |  512   |  0.014482668884325341 |
|   ഊ    |  357   |  0.010098267171297162 |
|   ൺ    |  282   |  0.007976782471444817 |
|   ഃ    |  203   |  0.00574215192093368  |
|   ൌ    |  137   | 0.0038752453850636162 |
|   ഢ    |  130   | 0.0036772401464107304 |
|   ഔ    |   26   | 0.0007354480292821461 |
|   ഐ    |   23   | 0.0006505886412880524 |
|   ഋ    |   15   | 0.0004242969399704689 |
|   ൨    |   14   |  0.000396010477305771 |
|   ൎ    |   10   | 0.0002828646266469793 |
|   ൿ    |   3    | 8.485938799409378e-05 |
|   ഝ    |   2    | 5.657292532939586e-05 |
| Total  |        |        3535260        |
+--------+--------+-----------------------+
